TesteFalha,https//www.googlew.com,11/05/2023 16:24:30,0,0
TesteFalha,https//www.googlew.com,11/05/2023 16:24:56,0,0
TesteFalha,https//www.googlew.com,11/05/2023 16:26:10,0,0
TesteNotFound,https://havan.com.br/devops,11/05/2023 16:26:10,404,833
TesteFalha,https//www.googlew.com,11/05/2023 16:27:22,0,0
TesteNotFound,https://havan.com.br/devops,11/05/2023 16:27:22,404,248
TesteFalha,https//www.googlew.com,11/05/2023 16:27:40,0,0
TesteNotFound,https://havan.com.br/devops,11/05/2023 16:27:40,404,737
TesteFalha,https//www.googlew.com,11/05/2023 16:29:00,0,0
TesteNotFound,https://havan.com.br/devops,11/05/2023 16:29:00,404,179
